Timestamp,HeartRate,CognitiveLoad,Attention,leftPupilDialation,rightPupilDialation,collidingObject,
15/07/2022 9:39:22 a.m.:716,77,0,0,3.461014,-1,Floor,
15/07/2022 9:39:22 a.m.:732,77,0,0,3.461014,-1,Floor,
15/07/2022 9:39:22 a.m.:755,77,0,0,3.461014,-1,Floor,
15/07/2022 9:39:22 a.m.:777,77,0,0,3.461014,-1,Floor,
15/07/2022 9:39:22 a.m.:800,77,0,0,3.461014,-1,Floor,
15/07/2022 9:39:22 a.m.:830,77,0,0,3.461014,-1,Floor,
15/07/2022 9:39:22 a.m.:857,77,0,0,3.461014,-1,Floor,
15/07/2022 9:39:22 a.m.:881,77,0,0,3.461014,-1,Floor,
15/07/2022 9:39:22 a.m.:897,77,0,0,3.461014,-1,Floor,
15/07/2022 9:39:22 a.m.:914,77,0,0,3.461014,-1,Floor,
15/07/2022 9:39:22 a.m.:930,77,0,0,3.461014,-1,Floor,
